idplayer;descCountry;idade;kills;deaths;KD
79;br;21;36;12;30.000
863;br;18;99;35;28.286
1541;ar;21;16;6;26.667
2669;br;26;27;11;24.545
2030;pe;33;96;41;23.415
1087;ar;;36;16;22.500
1322;ar;22;29;13;22.308
2200;br;21;64;29;22.069
580;ar;;22;10;22.000
1846;ar;32;149;68;21.912
772;br;16;24;11;21.818
1559;cl;31;19;9;21.111
2198;ar;20;73;35;20.857
1905;br;;37;18;20.556
1745;br;24;39;19;20.526
2043;br;23;16;8;20.000
2318;br;;139;70;19.857
1573;br;20;477;243;19.630
458;br;18;31;16;19.375
1947;br;25;124;64;19.375
1100;br;17;29;15;19.333
1459;br;20;119;62;19.194
861;br;;78;41;19.024
1307;br;23;1549;819;18.913
876;br;;46;25;18.400
1908;br;;1476;806;18.313
313;br;22;91;50;18.200
2475;ar;25;90;50;18.000
106;br;21;185;103;17.961
2693;ar;24;61;34;17.941
2635;ar;22;48;27;17.778
1728;br;32;94;53;17.736
1023;ar;23;125;71;17.606
347;br;21;65;37;17.568
2042;br;24;1101;629;17.504
1250;ar;18;45;26;17.308
2222;pe;;45;26;17.308
893;br;21;55;32;17.188
1760;br;;103;60;17.167
1538;br;;80;47;17.021
310;br;;68;40;17.000
1645;br;28;496;294;16.871
263;br;24;3149;1872;16.822
411;br;;37;22;16.818
2545;ar;19;455;271;16.790
727;br;18;112;67;16.716
128;br;20;580;348;16.667
1321;br;21;93;56;16.607
493;br;26;194;117;16.581
2180;ar;27;2190;1331;16.454
283;br;20;274;168;16.310
2123;br;;352;216;16.296
144;br;22;635;390;16.282
2415;br;19;1504;932;16.137
1419;ar;21;863;537;16.071
1455;cl;22;204;127;16.063
672;cl;;59;37;15.946
868;br;19;3530;2229;15.837
2037;br;17;1169;739;15.819
1380;br;20;2255;1429;15.780
2262;br;;850;539;15.770
2521;br;19;22;14;15.714
2474;br;16;444;283;15.689
1700;br;24;299;191;15.654
1060;br;25;302;193;15.648
1922;br;26;23926;15295;15.643
1392;br;18;192;123;15.610
2320;br;21;493;316;15.601
1312;br;19;1826;1171;15.594
1010;br;27;2476;1596;15.514
552;br;22;2544;1644;15.474
769;ar;16;133;86;15.465
644;br;23;1820;1177;15.463
1934;ar;21;108;70;15.429
2187;ar;25;877;569;15.413
2702;br;;100;65;15.385
120;br;23;598;389;15.373
798;ar;23;43;28;15.357
1188;br;26;385;251;15.339
1490;br;22;75;49;15.306
1596;br;22;1682;1111;15.140
2292;br;22;269;178;15.112
563;br;21;2390;1582;15.107
490;br;24;86;57;15.088
679;br;26;6576;4361;15.079
2667;br;24;2818;1872;15.053
2443;br;24;185;123;15.041
497;ar;;72;48;15.000
1887;br;17;6;4;15.000
2190;br;21;27;18;15.000
2028;br;23;2397;1599;14.991
95;br;18;446;299;14.916
1423;br;18;1352;908;14.890
589;br;;530;356;14.888
935;br;;318;214;14.860
734;br;35;31;21;14.762
1710;br;;693;471;14.713
710;br;20;1161;790;14.696
197;br;49;1519;1035;14.676
1697;br;23;813;554;14.675
1648;br;;1213;827;14.667
2691;br;21;63;43;14.651
2665;br;;73;50;14.600
1153;br;;35;24;14.583
1572;br;;2141;1471;14.555
612;br;25;798;549;14.536
698;br;18;1402;966;14.513
343;br;26;174;120;14.500
896;br;;230;159;14.465
1383;br;21;1567;1085;14.442
1061;br;21;736;510;14.431
1532;ar;;36;25;14.400
1454;ar;21;138;96;14.375
914;br;;89;62;14.355
1358;cl;;844;589;14.329
1497;br;27;448;313;14.313
766;br;20;342;239;14.310
1258;br;24;4038;2823;14.304
724;ar;33;20;14;14.286
1625;br;26;905;634;14.274
522;ar;20;77;54;14.259
432;br;25;3973;2789;14.245
1281;br;27;511;359;14.234
288;br;19;603;424;14.222
1171;br;24;2645;1863;14.198
802;br;19;1210;853;14.185
1576;ar;22;78;55;14.182
2176;br;22;160;113;14.159
1564;br;;657;465;14.129
190;br;21;111;79;14.051
864;ar;18;118;84;14.048
2375;ar;18;9113;6491;14.039
2208;br;21;101;72;14.028
2044;br;;157;112;14.018
2464;br;;49;35;14.000
1051;br;25;1849;1323;13.976
1296;br;25;1076;770;13.974
1027;br;22;806;578;13.945
2024;br;17;46;33;13.939
2162;br;24;184;132;13.939
241;br;;39;28;13.929
1489;ar;;1463;1052;13.907
1675;ar;22;25;18;13.889
2676;br;19;50;36;13.889
2352;br;28;1043;751;13.888
2430;br;;2403;1732;13.874
2406;br;;244;176;13.864
1946;br;28;2951;2129;13.861
2374;br;27;6200;4479;13.842
1628;br;;2913;2109;13.812
725;br;26;29;21;13.810
479;br;29;1296;939;13.802
340;br;19;440;319;13.793
324;br;20;95;69;13.768
873;br;27;201;146;13.767
618;ar;18;541;394;13.731
61;br;;1080;788;13.706
1350;br;24;2213;1616;13.694
